,nodes count,HW Availability,SW Availability,MTTR SW,function 1,function 2,Overall availability
0,2,3,3,3600,f1_identity,f2_1_over_n,2
1,2,3,3,3600,f1_identity,f2_1_over_nlogn,2
2,2,3,3,3600,f1_identity,f2_1_over_sqrt_n,2
3,2,3,3,3600,f1_identity,f2_1_over_sqrt_n_cube,2
4,2,3,3,3600,f1_identity,f2_1_over_n_pow_2over3,2
5,2,3,3,3600,f1_n,f2_1_over_n,2
6,2,3,3,3600,f1_n,f2_1_over_nlogn,2
7,2,3,3,3600,f1_n,f2_1_over_sqrt_n,2
8,2,3,3,3600,f1_n,f2_1_over_sqrt_n_cube,2
9,2,3,3,3600,f1_n,f2_1_over_n_pow_2over3,2
10,2,3,3,3600,f1_nlogn,f2_1_over_n,2
11,2,3,3,3600,f1_nlogn,f2_1_over_nlogn,2
12,2,3,3,3600,f1_nlogn,f2_1_over_sqrt_n,2
13,2,3,3,3600,f1_nlogn,f2_1_over_sqrt_n_cube,2
14,2,3,3,3600,f1_nlogn,f2_1_over_n_pow_2over3,2
15,2,3,3,3600,f1_sqrt_n,f2_1_over_n,2
16,2,3,3,3600,f1_sqrt_n,f2_1_over_nlogn,2
17,2,3,3,3600,f1_sqrt_n,f2_1_over_sqrt_n,2
18,2,3,3,3600,f1_sqrt_n,f2_1_over_sqrt_n_cube,2
19,2,3,3,3600,f1_sqrt_n,f2_1_over_n_pow_2over3,2
20,2,3,3,3600,f1_sqrt_n_cube,f2_1_over_n,2
21,2,3,3,3600,f1_sqrt_n_cube,f2_1_over_nlogn,2
22,2,3,3,3600,f1_sqrt_n_cube,f2_1_over_sqrt_n,2
23,2,3,3,3600,f1_sqrt_n_cube,f2_1_over_sqrt_n_cube,2
24,2,3,3,3600,f1_sqrt_n_cube,f2_1_over_n_pow_2over3,2
25,2,3,3,3600,f1_n_pow_2over3,f2_1_over_n,2
26,2,3,3,3600,f1_n_pow_2over3,f2_1_over_nlogn,2
27,2,3,3,3600,f1_n_pow_2over3,f2_1_over_sqrt_n,2
28,2,3,3,3600,f1_n_pow_2over3,f2_1_over_sqrt_n_cube,2
29,2,3,3,3600,f1_n_pow_2over3,f2_1_over_n_pow_2over3,2
30,2,3,3,1800,f1_identity,f2_1_over_n,2
31,2,3,3,1800,f1_identity,f2_1_over_nlogn,2
32,2,3,3,1800,f1_identity,f2_1_over_sqrt_n,2
