,nodes count,HW Availability,SW Availability,MTTR SW,function 1,function 2,Overall availability
0,2,3,3,3600,f1_identity,f2_1_over_n,2.5232769586550106
1,2,3,3,3600,f1_identity,f2_1_over_nlogn,2.2749588021477716
2,2,3,3,3600,f1_identity,f2_1_over_sqrt_n,2.467207317771988
3,2,3,3,3600,f1_identity,f2_1_over_sqrt_n_cube,2.5678287406408007
4,2,3,3,3600,f1_identity,f2_1_over_n_pow_2over3,2.4872527078952373
5,2,3,3,3600,f1_n,f2_1_over_n,2.6023532282133206
6,2,3,3,3600,f1_n,f2_1_over_nlogn,2.4369657470571324
7,2,3,3,3600,f1_n,f2_1_over_sqrt_n,2.5678287406408007
8,2,3,3,3600,f1_n,f2_1_over_sqrt_n_cube,2.628543090057062
9,2,3,3,3600,f1_n,f2_1_over_n_pow_2over3,2.5803691771166344
10,2,3,3,3600,f1_nlogn,f2_1_over_n,2.4369657470571324
11,2,3,3,3600,f1_nlogn,f2_1_over_nlogn,2.1256146564860363
12,2,3,3,3600,f1_nlogn,f2_1_over_sqrt_n,2.3623624754508596
13,2,3,3,3600,f1_nlogn,f2_1_over_sqrt_n_cube,2.49876668195802
14,2,3,3,3600,f1_nlogn,f2_1_over_n_pow_2over3,2.3886685864085795
15,2,3,3,3600,f1_sqrt_n,f2_1_over_n,2.567828740640765
16,2,3,3,3600,f1_sqrt_n,f2_1_over_nlogn,2.3623624754508596
17,2,3,3,3600,f1_sqrt_n,f2_1_over_sqrt_n,2.5232769586550106
18,2,3,3,3600,f1_sqrt_n,f2_1_over_sqrt_n_cube,2.6023532282133592
19,2,3,3,3600,f1_sqrt_n,f2_1_over_n_pow_2over3,2.53934072440166
20,2,3,3,3600,f1_sqrt_n_cube,f2_1_over_n,2.628543090057062
21,2,3,3,3600,f1_sqrt_n_cube,f2_1_over_nlogn,2.49876668195799
22,2,3,3,3600,f1_sqrt_n_cube,f2_1_over_sqrt_n,2.6023532282133592
23,2,3,3,3600,f1_sqrt_n_cube,f2_1_over_sqrt_n_cube,2.648067875061669
24,2,3,3,3600,f1_sqrt_n_cube,f2_1_over_n_pow_2over3,2.611924541431238
25,2,3,3,3600,f1_n_pow_2over3,f2_1_over_n,2.5803691771166344
26,2,3,3,3600,f1_n_pow_2over3,f2_1_over_nlogn,2.3886685864085795
27,2,3,3,3600,f1_n_pow_2over3,f2_1_over_sqrt_n,2.5393407244016934
28,2,3,3,3600,f1_n_pow_2over3,f2_1_over_sqrt_n_cube,2.6119245414312777
29,2,3,3,3600,f1_n_pow_2over3,f2_1_over_n_pow_2over3,2.5541725418911554
