,overall availability class,nodes count,availability class HW,f1(n) / f2(n),minimum recover/failure time ratio,minimum availability class SW required cts
0,4,2,4,identity,-5.000125006249245e-05,does not exist
1,4,2,4,n,-0.0001000025001249849,does not exist
2,4,2,4,square_root_n,-7.07124459739854e-05,does not exist
3,4,2,4,n_squared,-0.0002000050002499698,does not exist
4,4,2,4,n_log_n,-3.0103752179011486e-05,does not exist
5,4,2,5,identity,4.0003250274978086e-05,4.397922093536416
6,4,2,5,n,8.000650054995617e-05,4.096909470021082
7,4,2,5,square_root_n,5.6573139077879254e-05,4.2474142915690996
8,4,2,5,n_squared,0.00016001300109991234,3.7959142165696953
9,4,2,5,n_log_n,2.4084356513643617e-05,4.618275412261858
10,4,2,6,identity,4.900370030869183e-05,4.309792406324079
11,4,2,6,n,9.800740061738367e-05,4.008783691132608
12,4,2,6,square_root_n,6.930169758301862e-05,4.159286223278918
13,4,2,6,n_squared,0.00019601480123476733,3.7077962532853106
14,4,2,6,n_log_n,2.9503167382889072e-05,4.530144169672115
15,4,3,4,identity,-6.666777782715627e-05,does not exist
16,4,3,4,n,-0.00020000333348146881,does not exist
17,4,3,4,square_root_n,-0.0001154719784243485,does not exist
18,4,3,4,n_squared,-0.0006000100004444064,does not exist
19,4,3,4,n_log_n,-9.542584141879347e-05,does not exist
20,4,3,5,identity,2.333522237285557e-05,4.631998190392197
21,4,3,5,n,7.00056671185667e-05,4.154897203443742
22,4,3,5,square_root_n,4.041779075570382e-05,4.393444981660033
23,4,3,5,n_squared,0.00021001700135570012,3.6778367463616584
24,4,3,5,n_log_n,3.3401191733097566e-05,4.47625254327472
25,4,3,6,identity,3.233552239279014e-05,4.490334161377853
26,4,3,6,n,9.700656717837042e-05,4.013240991119761
27,4,3,6,square_root_n,5.600676767359367e-05,4.251783813854969
28,4,3,6,n_squared,0.00029101970153511125,3.5362039788898967
29,4,3,6,n_log_n,4.628389504819132e-05,4.334590200252815
30,4,4,4,identity,-7.500093753909365e-05,does not exist
31,4,4,4,n,-0.0003000037501563746,does not exist
32,4,4,4,square_root_n,-0.0001500018750781873,does not exist
33,4,4,4,n_squared,-0.0012000150006254984,does not exist
34,4,4,4,n_log_n,-0.0001806202552175031,does not exist
35,4,4,5,identity,1.5001312601459205e-05,4.823877253840311
36,4,4,5,n,6.000525040583682e-05,4.221836806741969
37,4,4,5,square_root_n,3.000262520291841e-05,4.522853773017612
38,4,4,5,n_squared,0.00024002100162334727,3.619854983534992
39,4,4,5,n_log_n,3.612676053897033e-05,4.442186668935367
40,4,4,6,identity,2.400153761561441e-05,4.6197713587074825
41,4,4,6,n,9.600615046245764e-05,4.017742636709151
42,4,4,6,square_root_n,4.800307523122882e-05,4.318751786403629
43,4,4,6,n_squared,0.00038402460184983056,3.41580770019131
44,4,4,6,n_log_n,5.78014621148583e-05,4.238086277890464
45,4,5,4,identity,-8.000080003189858e-05,does not exist
46,4,5,4,n,-0.0004000040001594929,does not exist
47,4,5,4,square_root_n,-0.00017888722712569257,does not exist
48,4,5,4,n_squared,-0.0020000200007974644,does not exist
49,4,5,4,n_log_n,-0.00027959079772590565,does not exist
50,4,5,5,identity,1.0001000076087507e-05,4.99996091277606
51,4,5,5,n,5.0005000380437536e-05,4.301008281435666
52,4,5,5,square_root_n,2.2362916013112235e-05,4.650481279232179
53,4,5,5,n_squared,0.0002500250019021877,3.602125131653485
54,4,5,5,n_log_n,3.4951995332737045e-05,4.456543205485633
55,4,5,6,identity,1.900118008690832e-05,4.721227677954304
56,4,5,6,n,9.50059004345416e-05,4.022290680167547
57,4,5,6,square_root_n,4.248793032704237e-05,4.3717528756375
58,4,5,6,n_squared,0.000475029502172708,3.3234856709602694
59,4,5,6,n_log_n,6.640627463867892e-05,4.177819721718699
60,4,6,4,identity,-8.333402780480448e-05,does not exist
61,4,6,4,n,-0.0005000041668288269,does not exist
62,4,6,4,square_root_n,-0.00020412584633267673,does not exist
63,4,6,4,n_squared,-0.003000025000972961,does not exist
64,4,6,4,n_log_n,-0.00038907886761488353,does not exist
65,4,6,5,identity,6.667472282728681e-06,5.176041676671238
66,4,6,5,n,4.000483369637209e-05,4.397904904181731
67,4,6,5,square_root_n,1.6331904966835047e-05,4.786970248640354
68,4,6,5,n_squared,0.00024002900217823253,3.6198405110301155
69,4,6,5,n_log_n,3.112981136222166e-05,4.5068370303047605
70,4,6,6,identity,1.566762229154861e-05,4.805003711095099
71,4,6,6,n,9.400573374929166e-05,4.026886480655585
72,4,6,6,square_root_n,3.837768009694939e-05,4.41593794848941
73,4,6,6,n_squared,0.00056403440249575,3.2489392939919686
74,4,6,6,n_log_n,7.315067926024319e-05,4.1358134045371076
75,4,7,4,identity,-8.571489798248066e-05,does not exist
76,4,7,4,n,-0.0006000042858773647,does not exist
77,4,7,4,square_root_n,-0.00022678030371491587,does not exist
78,4,7,4,n_squared,-0.0042000300011415526,does not exist
79,4,7,4,n_log_n,-0.0005070624459951147,does not exist
80,4,7,5,identity,4.28638780536339e-06,5.36791040084261
81,4,7,5,n,3.0004714637543728e-05,4.52282352996004
82,4,7,5,square_root_n,1.1340716155771461e-05,4.945364444464027
83,4,7,5,n_squared,0.0002100330024628061,3.677803665855772
84,4,7,5,n_log_n,2.5356925531375287e-05,4.595914417034967
85,4,7,6,identity,1.3286516383992364e-05,4.876594642816796
86,4,7,6,n,9.300561468794655e-05,4.031531222528963
87,4,7,6,square_root_n,3.515281814242896e-05,4.454055118996661
88,4,7,6,n_squared,0.0006510393028156258,3.1866754433457496
89,4,7,6,n_log_n,7.85988626831048e-05,4.104617871819822
90,4,8,4,identity,-8.750054689554698e-05,does not exist
91,4,8,4,n,-0.0007000043751643759,does not exist
92,4,8,4,square_root_n,-0.0002474889202694911,does not exist
93,4,8,4,n_squared,-0.005600035001315007,does not exist
94,4,8,4,n_log_n,-0.0006321669420614998,does not exist
95,4,8,5,identity,2.50057816786331e-06,5.601960650883072
96,4,8,5,n,2.000462534290648e-05,4.698878265714092
97,4,8,5,square_root_n,7.072703117532718e-06,5.150417643018347
98,4,8,5,n_squared,0.00016003700274325183,3.795849088537414
99,4,8,5,n_log_n,1.8065976840704117e-05,4.7431463967197
100,4,8,6,identity,1.1500690674015601e-05,4.939281071962407
101,4,8,6,n,9.200552539212481e-05,4.036226045968822
102,4,8,6,square_root_n,3.252886545570127e-05,4.487745210688691
103,4,8,6,n_squared,0.0007360442031369985,3.133415645674438
104,4,8,6,n_log_n,8.308926872956092e-05,4.080491146961058
105,4,9,4,identity,-8.888938273432512e-05,does not exist
106,4,9,4,n,-0.0008000044446089261,does not exist
107,4,9,4,square_root_n,-0.00026666814820297535,does not exist
108,4,9,4,n_squared,-0.0072000400014803345,does not exist
109,4,9,4,n_log_n,-0.000763398248786235,does not exist
110,4,9,5,identity,1.111617321303271e-06,5.95404517739696
111,4,9,5,n,1.0004555891729439e-05,4.999806530096498
112,4,9,5,square_root_n,3.334851963909813e-06,5.476924888220842
113,4,9,5,n_squared,9.004100302556495e-05,4.045598778305204
114,4,9,5,n_log_n,9.546772519949882e-06,5.020147571755208
115,4,9,6,identity,1.0111717326788394e-05,4.995179471040559
116,4,9,6,n,9.100545594109555e-05,4.040972091530493
117,4,9,6,square_root_n,3.0335151980365183e-05,4.518066999069692
118,4,9,6,n_squared,0.0008190491034698599,3.0870456236363455
119,4,9,6,n_log_n,8.684127464990093e-05,4.061311523676593
120,4,10,4,identity,-9.000045001650303e-05,does not exist
121,4,10,4,n,-0.0009000045001650303,does not exist
122,4,10,4,square_root_n,-0.0002846064124922884,does not exist
123,4,10,4,n_squared,-0.009000045001650303,does not exist
124,4,10,4,n_log_n,-0.0009000045001650303,does not exist
125,4,10,5,identity,4.500331218793008e-10,9.346755521513431
126,4,10,5,n,4.500331218793008e-09,8.346755521513431
127,4,10,5,square_root_n,1.4231296876547464e-09,8.846755543943813
128,4,10,5,n_squared,4.500331218793008e-08,7.346755540798561
129,4,10,5,n_log_n,4.500331218793008e-09,8.346755521513431
130,4,10,6,identity,9.000540037940041e-06,5.045735340709355
131,4,10,6,n,9.000540037940041e-05,4.045770518932503
132,4,10,6,square_root_n,2.846220669142885e-05,4.545743792644505
133,4,10,6,n_squared,0.0009000540037940041,3.04612214452513
134,4,10,6,n_log_n,9.000540037940041e-05,4.045770518932503
135,4,11,4,identity,-9.090950414725185e-05,does not exist
136,4,11,4,n,-0.0010000045456197704,does not exist
137,4,11,4,square_root_n,-0.00030151271513369253,does not exist
138,4,11,4,n_squared,-0.011000050001817474,does not exist
139,4,11,4,n_log_n,-0.0010413974189334033,does not exist
140,4,11,5,identity,-9.086859207307896e-07,does not exist
141,4,11,5,n,-9.995545128038685e-06,does not exist
142,4,11,5,square_root_n,-3.0137702513426583e-06,does not exist
143,4,11,5,n_squared,-0.00010995099640842554,does not exist
144,4,11,5,n_log_n,-1.040928758050842e-05,does not exist
145,4,11,6,identity,8.091395901743681e-06,5.091980062864968
146,4,11,6,n,8.900535491918049e-05,4.050622516485501
